 unsteadiness, phlegm, blood_in_sputum, malaise, dischromic _patches, burning_micturition, breathlessness, extra_marital_contacts
 mucoid_sputum, throat_irritation, history_of_alcohol_consumption, blurred_and_distorted_vision, obesity, loss_of_appetite, stiff_neck, fatigue
 pain_behind_the_eyes, increased_appetite, swelling_of_stomach, slurred_speech, blackheads, puffy_face_and_eyes, burning_micturition, weakness_in_limbs
 joint_pain, pain_during_bowel_movements, redness_of_eyes, painful_walking, nausea, muscle_pain, loss_of_appetite, sunken_eyes
 acute_liver_failure, swelling_of_stomach, swollen_blood_vessels, sinus_pressure, unsteadiness, dischromic _patches, puffy_face_and_eyes, weakness_in_limbs
 prominent_veins_on_calf, breathlessness, patches_in_throat, malaise, mild_fever, acidity, spotting_ urination, loss_of_appetite
 throat_irritation, dischromic _patches, increased_appetite, hip_joint_pain, ulcers_on_tongue, yellowing_of_eyes, phlegm, burning_micturition
 restlessness, lethargy, bruising, chills, cramps, cough, enlarged_thyroid, acute_liver_failure
 toxic_look_(typhos), bloody_stool, swollen_extremeties, swelling_of_stomach, fluid_overload, dark_urine, chest_pain, back_pain
 sweating, pain_behind_the_eyes, malaise, slurred_speech, loss_of_appetite, receiving_unsterile_injections, burning_micturition, back_pain
 abnormal_menstruation, abdominal_pain, loss_of_smell, bruising, stiff_neck, excessive_hunger, redness_of_eyes, swollen_extremeties
 slurred_speech, extra_marital_contacts, puffy_face_and_eyes, pain_behind_the_eyes, stiff_neck, polyuria, irregular_sugar_level, weight_loss
 weakness_in_limbs, yellowing_of_eyes, runny_nose, unsteadiness, continuous_sneezing, obesity, swelling_joints, stomach_bleeding
 toxic_look_(typhos), nausea, nausea, hip_joint_pain, polyuria, receiving_blood_transfusion, ulcers_on_tongue, altered_sensorium
 extra_marital_contacts, yellowing_of_eyes, yellow_urine, yellowing_of_eyes, irritability, lethargy, palpitations, throat_irritation
 breathlessness, abnormal_menstruation, sweating, muscle_pain, abnormal_menstruation, dischromic _patches, blister, enlarged_thyroid
 toxic_look_(typhos), watering_from_eyes, yellow_crust_ooze, mild_fever, weakness_of_one_body_side,, enlarged_thyroid, ulcers_on_tongue
 visual_disturbances, sunken_eyes, toxic_look_(typhos), spotting_ urination, swollen_blood_vessels, belly_pain, blackheads, muscle_pain
 red_sore_around_nose, pus_filled_pimples, receiving_unsterile_injections, red_sore_around_nose, muscle_weakness, skin_rash, bloody_stool, swollen_legs
 joint_pain, breathlessness, cramps, blackheads, blurred_and_distorted_vision, belly_pain, belly_pain, fast_heart_rate
 extra_marital_contacts, rusty_sputum, skin_rash, sinus_pressure, patches_in_throat, loss_of_appetite, drying_and_tingling_lips, vomiting
 small_dents_in_nails, excessive_hunger, abnormal_menstruation, blackheads, blackheads, yellowing_of_eyes, cramps, blackheads
 coma, drying_and_tingling_lips, patches_in_throat, fatigue, belly_pain, yellow_crust_ooze, neck_pain, weakness_in_limbs
 swelling_joints, indigestion, lack_of_concentration, swollen_extremeties, fluid_overload, anxiety, toxic_look_(typhos), stiff_neck
 patches_in_throat, weight_gain, fluid_overload, swollen_legs, swelling_of_stomach, acute_liver_failure, bruising, lethargy
 congestion, increased_appetite, unsteadiness, spotting_ urination, sweating, puffy_face_and_eyes, indigestion, increased_appetite
 movement_stiffness,itching, puffy_face_and_eyes, mild_fever, congestion, cough, bloody_stool, swelled_lymph_nodes
 continuous_sneezing, belly_pain, continuous_sneezing, burning_micturition, pain_in_anal_region, breathlessness, weight_gain, distention_of_abdomen
 swelled_lymph_nodes, runny_nose, drying_and_tingling_lips, acidity, bruising, hip_joint_pain, mood_swings, swollen_extremeties
 redness_of_eyes, nodal_skin_eruptions, vomiting, mucoid_sputum, scurring, blister, fast_heart_rate, continuous_feel_of_urine
 excessive_hunger, blurred_and_distorted_vision, ulcers_on_tongue, internal_itching, red_sore_around_nose, painful_walking, swollen_legs, mild_fever
 history_of_alcohol_consumption, internal_itching, swelling_joints, swollen_legs, continuous_feel_of_urine, pain_in_anal_region, depression, weight_gain
 inflammatory_nails, constipation, mild_fever, redness_of_eyes, diarrhoea, spinning_movements, high_fever, stomach_bleeding
 weight_gain, malaise, history_of_alcohol_consumption, bladder_discomfort, joint_pain, enlarged_thyroid, small_dents_in_nails, belly_pain
 watering_from_eyes, vomiting, acute_liver_failure, palpitations, mood_swings, swollen_blood_vessels, hip_joint_pain, congestion
 depression, palpitations, swelling_joints, skin_peeling, cold_hands_and_feets, scurring, redness_of_eyes, stiff_neck
 enlarged_thyroid, yellow_urine, fluid_overload,, stiff_neck, high_fever, muscle_weakness, lack_of_concentration
 knee_pain, dizziness, muscle_wasting, skin_peeling, burning_micturition, altered_sensorium, diarrhoea, muscle_wasting
 spotting_ urination, internal_itching, continuous_feel_of_urine, blackheads, muscle_pain, mucoid_sputum, weakness_in_limbs, nodal_skin_eruptions
 pus_filled_pimples, swelling_of_stomach,itching, congestion, fluid_overload, movement_stiffness, internal_itching, coma
 swelling_joints, diarrhoea, continuous_sneezing, continuous_feel_of_urine, shivering, rusty_sputum, fluid_overload, visual_disturbances
 receiving_blood_transfusion, muscle_weakness, mood_swings, visual_disturbances, neck_pain, back_pain, receiving_blood_transfusion, bladder_discomfort
 altered_sensorium, cold_hands_and_feets, cramps, weight_gain, knee_pain, fatigue, weakness_of_one_body_side, malaise
 dizziness, weakness_of_one_body_side, mood_swings, shivering, shivering, loss_of_balance, joint_pain, diarrhoea
 mucoid_sputum, cramps, weakness_of_one_body_side, hip_joint_pain, spinning_movements, throat_irritation, bladder_discomfort, headache
 muscle_pain, enlarged_thyroid,, mucoid_sputum, blackheads, muscle_weakness, abnormal_menstruation, abnormal_menstruation
 stomach_pain, family_history, continuous_feel_of_urine, watering_from_eyes, palpitations, acidity, yellowish_skin, yellow_crust_ooze
 bloody_stool, family_history, pain_behind_the_eyes, loss_of_smell, high_fever, swollen_legs, chills, brittle_nails
 distention_of_abdomen, altered_sensorium, stomach_pain, dehydration, stomach_pain, blackheads, chest_pain, stomach_pain
 nausea, watering_from_eyes, dizziness, acute_liver_failure, sunken_eyes, weakness_in_limbs, loss_of_smell, mucoid_sputum
 puffy_face_and_eyes, fast_heart_rate, weakness_in_limbs, yellow_urine, muscle_weakness, indigestion, scurring, neck_pain
 back_pain, dark_urine, continuous_sneezing, congestion, muscle_wasting, abnormal_menstruation, acute_liver_failure, anxiety
 obesity, cold_hands_and_feets, stomach_pain, lethargy, continuous_sneezing, receiving_unsterile_injections, slurred_speech, loss_of_smell
 stiff_neck, dehydration, yellowish_skin, skin_peeling, diarrhoea, sunken_eyes, pain_in_anal_region, bruising
 breathlessness, silver_like_dusting, polyuria, swollen_legs, enlarged_thyroid, brittle_nails, irritation_in_anus, swollen_blood_vessels
 bruising, polyuria, polyuria, small_dents_in_nails, inflammatory_nails, lack_of_concentration, toxic_look_(typhos), fatigue
 congestion, inflammatory_nails, dark_urine, foul_smell_of urine, weight_loss, slurred_speech, mood_swings, receiving_blood_transfusion
 dehydration, cold_hands_and_feets, indigestion, skin_rash, muscle_pain, altered_sensorium, muscle_weakness, diarrhoea
 yellow_crust_ooze, phlegm, weakness_of_one_body_side, joint_pain, fast_heart_rate, visual_disturbances, loss_of_balance, yellow_crust_ooze
 receiving_unsterile_injections, cold_hands_and_feets, cramps, mucoid_sputum, cramps, pain_in_anal_region, high_fever, weakness_of_one_body_side
 nodal_skin_eruptions, palpitations, family_history, dark_urine, chills, internal_itching, acidity, mucoid_sputum
 scurring, silver_like_dusting, internal_itching, muscle_wasting, movement_stiffness, swelled_lymph_nodes, extra_marital_contacts, skin_peeling
 mucoid_sputum, abnormal_menstruation, blood_in_sputum, blister, small_dents_in_nails, knee_pain, indigestion, extra_marital_contacts
 acidity, receiving_blood_transfusion, yellow_crust_ooze, weakness_in_limbs, burning_micturition, scurring, swollen_legs, yellowish_skin
 loss_of_appetite, chest_pain, pain_behind_the_eyes, red_sore_around_nose, pain_behind_the_eyes, scurring, blurred_and_distorted_vision, irritability
 painful_walking, stiff_neck, stiff_neck, internal_itching, passage_of_gases, slurred_speech, brittle_nails, receiving_unsterile_injections
 extra_marital_contacts, stomach_bleeding, swollen_legs, watering_from_eyes, restlessness, swelled_lymph_nodes, weight_gain, visual_disturbances
 muscle_pain, knee_pain, swelling_joints, puffy_face_and_eyes, cold_hands_and_feets, joint_pain, weight_gain, runny_nose
 blood_in_sputum, bruising, phlegm, movement_stiffness, small_dents_in_nails, irritation_in_anus, loss_of_smell, watering_from_eyes
 chest_pain, dizziness, knee_pain, muscle_weakness, weakness_in_limbs, cold_hands_and_feets, drying_and_tingling_lips, chest_pain
 swelling_of_stomach, irritation_in_anus, blurred_and_distorted_vision, pain_during_bowel_movements, unsteadiness, scurring, weakness_in_limbs, irritation_in_anus
 weight_loss, swollen_blood_vessels, malaise, excessive_hunger, dizziness, increased_appetite, unsteadiness, painful_walking
 mood_swings, irritation_in_anus, sinus_pressure, ulcers_on_tongue, headache,itching, nausea, cramps
 watering_from_eyes, swollen_extremeties, knee_pain, dark_urine, weight_gain, stomach_pain, distention_of_abdomen, yellowish_skin
 prominent_veins_on_calf, anxiety, hip_joint_pain, mucoid_sputum, cough, chest_pain, yellow_urine, muscle_pain
 watering_from_eyes, blood_in_sputum, neck_pain, sweating, weakness_of_one_body_side, skin_peeling, unsteadiness, silver_like_dusting
