,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
27,GERD,5,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
28,GERD,5,3,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
29,GERD,5,3,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0
30,Chroniccholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
31,Chroniccholestasis,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
32,Chroniccholestasis,1,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
33,Chroniccholestasis,1,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
34,Chroniccholestasis,1,5,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0
35,Chroniccholestasis,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
36,Chroniccholestasis,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
37,Chroniccholestasis,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
38,Chroniccholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
39,Chroniccholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
40,DrugReaction,1,3,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0
41,DrugReaction,1,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
42,DrugReaction,1,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
43,DrugReaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
44,DrugReaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
45,DrugReaction,3,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
46,DrugReaction,1,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
47,DrugReaction,1,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
48,DrugReaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
49,DrugReaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Pepticulcerdiseae,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
51,Pepticulcerdiseae,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
52,Pepticulcerdiseae,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
53,Pepticulcerdiseae,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
54,Pepticulcerdiseae,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
55,Pepticulcerdiseae,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
56,Pepticulcerdiseae,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
57,Pepticulcerdiseae,5,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
58,Pepticulcerdiseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
59,Pepticulcerdiseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
60,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
61,AIDS,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,AIDS,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,AIDS,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,AIDS,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
66,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
67,AIDS,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,AIDS,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,AIDS,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
71,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
72,Diabetes,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0,0
73,Diabetes,4,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0,0
74,Diabetes,4,3,2,5,5,4,4,5,4,0,0,0,0,0,0,0,0
75,Diabetes,4,3,5,5,5,4,4,5,4,0,0,0,0,0,0,0,0
76,Diabetes,4,3,5,2,5,4,4,5,4,0,0,0,0,0,0,0,0
77,Diabetes,4,3,5,2,5,4,4,5,4,0,0,0,0,0,0,0,0
78,Diabetes,4,3,5,2,5,5,4,5,4,0,0,0,0,0,0,0,0
79,Diabetes,4,3,5,2,5,5,4,5,4,0,0,0,0,0,0,0,0
80,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Gastroenteritis,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Gastroenteritis,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Gastroenteritis,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Gastroenteritis,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Gastroenteritis,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Gastroenteritis,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Gastroenteritis,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,BronchialAsthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
91,BronchialAsthma,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
92,BronchialAsthma,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
93,BronchialAsthma,4,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
94,BronchialAsthma,4,4,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0
95,BronchialAsthma,4,4,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0
96,BronchialAsthma,4,4,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0
97,BronchialAsthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
98,BronchialAsthma,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
99,BronchialAsthma,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
100,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
101,Hypertension,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Hypertension,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Hypertension,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Hypertension,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Hypertension,3,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
107,Hypertension,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Hypertension,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Hypertension,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
111,Migraine,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0
112,Migraine,3,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0
113,Migraine,3,5,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0
114,Migraine,3,5,3,4,4,3,2,3,0,0,0,0,0,0,0,0,0
115,Migraine,3,5,3,5,4,3,2,3,0,0,0,0,0,0,0,0,0
116,Migraine,3,5,3,5,4,3,2,3,0,0,0,0,0,0,0,0,0
117,Migraine,3,5,3,5,4,4,2,3,0,0,0,0,0,0,0,0,0
118,Migraine,3,5,3,5,4,4,3,3,0,0,0,0,0,0,0,0,0
119,Migraine,3,5,3,5,4,4,3,2,0,0,0,0,0,0,0,0,0
120,Cervicalspondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
121,Cervicalspondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
122,Cervicalspondylosis,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Cervicalspondylosis,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Cervicalspondylosis,3,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Cervicalspondylosis,3,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Cervicalspondylosis,3,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Cervicalspondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
128,Cervicalspondylosis,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Cervicalspondylosis,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Paralysis(brainhemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Paralysis(brainhemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Paralysis(brainhemorrhage),3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Paralysis(brainhemorrhage),5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Paralysis(brainhemorrhage),5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Paralysis(brainhemorrhage),5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Paralysis(brainhemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Paralysis(brainhemorrhage),3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Paralysis(brainhemorrhage),5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Paralysis(brainhemorrhage),5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
141,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
142,Jaundice,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0,0
143,Jaundice,1,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0,0
144,Jaundice,1,5,3,7,3,4,4,0,0,0,0,0,0,0,0,0,0
145,Jaundice,1,5,4,7,3,4,4,0,0,0,0,0,0,0,0,0,0
146,Jaundice,1,5,4,3,3,4,4,0,0,0,0,0,0,0,0,0,0
147,Jaundice,1,5,4,3,7,4,4,0,0,0,0,0,0,0,0,0,0
148,Jaundice,1,5,4,3,7,3,4,0,0,0,0,0,0,0,0,0,0
149,Jaundice,1,5,4,3,7,3,4,0,0,0,0,0,0,0,0,0,0
150,Malaria,3,5,7,3,3,5,2,0,0,0,0,0,0,0,0,0,0
151,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
152,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
153,Malaria,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0,0
154,Malaria,3,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0,0
155,Malaria,3,5,3,3,5,6,2,0,0,0,0,0,0,0,0,0,0
156,Malaria,3,5,7,3,5,6,2,0,0,0,0,0,0,0,0,0,0
157,Malaria,3,5,7,3,5,6,2,0,0,0,0,0,0,0,0,0,0
158,Malaria,3,5,7,3,3,6,2,0,0,0,0,0,0,0,0,0,0
159,Malaria,3,5,7,3,3,5,2,0,0,0,0,0,0,0,0,0,0
160,Chickenpox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
161,Chickenpox,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0,0
162,Chickenpox,1,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0,0
163,Chickenpox,1,3,2,7,3,4,5,6,6,3,0,0,0,0,0,0,0
164,Chickenpox,1,3,4,7,3,4,5,6,6,3,0,0,0,0,0,0,0
165,Chickenpox,1,3,4,2,3,4,5,6,6,3,0,0,0,0,0,0,0
166,Chickenpox,1,3,4,2,7,4,5,6,6,3,0,0,0,0,0,0,0
167,Chickenpox,1,3,4,2,7,3,5,6,6,3,0,0,0,0,0,0,0
168,Chickenpox,1,3,4,2,7,3,4,6,6,3,0,0,0,0,0,0,0
169,Chickenpox,1,3,4,2,7,3,4,5,6,3,0,0,0,0,0,0,0
170,Dengue,3,3,3,5,4,7,3,5,4,4,3,2,3,0,0,0,0
171,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,3,0,0,0,0
172,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,0,0,0,0
173,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0
174,Dengue,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0,0
175,Dengue,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0,0
176,Dengue,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0,0
177,Dengue,3,3,3,4,7,3,5,4,4,3,6,2,3,0,0,0,0
178,Dengue,3,3,3,5,7,3,5,4,4,3,6,2,3,0,0,0,0
179,Dengue,3,3,3,5,4,3,5,4,4,3,6,2,3,0,0,0,0
180,Typhoid,3,5,4,7,5,4,4,6,5,4,0,0,0,0,0,0,0
181,Typhoid,3,5,4,7,3,4,4,6,5,4,0,0,0,0,0,0,0
182,Typhoid,3,5,4,7,3,5,4,6,5,4,0,0,0,0,0,0,0
183,Typhoid,3,5,4,7,3,5,4,6,5,4,0,0,0,0,0,0,0
184,Typhoid,3,5,4,7,3,5,4,4,5,4,0,0,0,0,0,0,0
185,Typhoid,3,5,4,7,3,5,4,4,6,4,0,0,0,0,0,0,0
186,Typhoid,3,5,4,7,3,5,4,4,6,5,0,0,0,0,0,0,0
187,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
188,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
189,Typhoid,3,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0,0
190,hepatitisA,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
191,hepatitisA,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
192,hepatitisA,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0,0
193,hepatitisA,3,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0,0
194,hepatitisA,3,5,4,5,4,4,6,5,4,2,0,0,0,0,0,0,0
195,hepatitisA,3,5,3,5,4,4,6,5,4,2,0,0,0,0,0,0,0
196,hepatitisA,3,5,3,4,4,4,6,5,4,2,0,0,0,0,0,0,0
197,hepatitisA,3,5,3,4,5,4,6,5,4,2,0,0,0,0,0,0,0
198,hepatitisA,3,5,3,4,5,4,6,5,4,2,0,0,0,0,0,0,0
199,hepatitisA,3,5,3,4,5,4,4,5,4,2,0,0,0,0,0,0,0
200,HepatitisB,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
201,HepatitisB,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
202,HepatitisB,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0,0
203,HepatitisB,1,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0,0
204,HepatitisB,1,4,3,4,4,4,4,4,6,5,2,0,0,0,0,0,0
205,HepatitisB,1,4,2,4,4,4,4,4,6,5,2,0,0,0,0,0,0
206,HepatitisB,1,4,2,3,4,4,4,4,6,5,2,0,0,0,0,0,0
207,HepatitisB,1,4,2,3,4,4,4,4,6,5,2,0,0,0,0,0,0
208,HepatitisB,1,4,2,3,4,4,4,4,6,5,2,0,0,0,0,0,0
209,HepatitisB,1,4,2,3,4,4,4,4,6,5,2,0,0,0,0,0,0
210,HepatitisC,4,3,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
211,HepatitisC,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
212,HepatitisC,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
213,HepatitisC,4,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
214,HepatitisC,4,3,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
215,HepatitisC,4,3,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
216,HepatitisC,4,3,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
217,HepatitisC,4,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
218,HepatitisC,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
219,HepatitisC,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
220,HepatitisD,3,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0
221,HepatitisD,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0,0
222,HepatitisD,3,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0,0
223,HepatitisD,3,5,3,4,5,4,4,4,0,0,0,0,0,0,0,0,0
224,HepatitisD,3,5,4,4,5,4,4,4,0,0,0,0,0,0,0,0,0
225,HepatitisD,3,5,4,3,5,4,4,4,0,0,0,0,0,0,0,0,0
226,HepatitisD,3,5,4,3,4,4,4,4,0,0,0,0,0,0,0,0,0
227,HepatitisD,3,5,4,3,4,5,4,4,0,0,0,0,0,0,0,0,0
228,HepatitisD,3,5,4,3,4,5,4,4,0,0,0,0,0,0,0,0,0
229,HepatitisD,3,5,4,3,4,5,4,4,0,0,0,0,0,0,0,0,0
230,HepatitisE,3,5,4,7,3,4,5,4,4,4,7,6,0,0,0,0,0
231,HepatitisE,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
232,HepatitisE,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
233,HepatitisE,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0,0
234,HepatitisE,3,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0,0
235,HepatitisE,3,5,7,3,4,5,4,4,4,6,7,6,0,0,0,0,0
236,HepatitisE,3,5,4,3,4,5,4,4,4,6,7,6,0,0,0,0,0
237,HepatitisE,3,5,4,7,4,5,4,4,4,6,7,6,0,0,0,0,0
238,HepatitisE,3,5,4,7,3,5,4,4,4,6,7,6,0,0,0,0,0
239,HepatitisE,3,5,4,7,3,4,4,4,4,6,7,6,0,0,0,0,0
240,Alcoholichepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
241,Alcoholichepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
242,Alcoholichepatitis,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0
243,Alcoholichepatitis,5,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0
244,Alcoholichepatitis,5,3,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0
245,Alcoholichepatitis,5,3,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0
246,Alcoholichepatitis,5,3,4,7,5,6,0,0,0,0,0,0,0,0,0,0,0
247,Alcoholichepatitis,5,3,4,7,4,6,0,0,0,0,0,0,0,0,0,0,0
248,Alcoholichepatitis,5,3,4,7,4,5,0,0,0,0,0,0,0,0,0,0,0
249,Alcoholichepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
250,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
251,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
252,Tuberculosis,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0,0
253,Tuberculosis,3,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0,0
254,Tuberculosis,3,5,3,4,7,4,3,4,5,4,6,6,5,7,5,0,0
255,Tuberculosis,3,5,4,4,7,4,3,4,5,4,6,6,5,7,5,0,0
256,Tuberculosis,3,5,4,3,7,4,3,4,5,4,6,6,5,7,5,0,0
257,Tuberculosis,3,5,4,3,4,4,3,4,5,4,6,6,5,7,5,0,0
258,Tuberculosis,3,5,4,3,4,7,3,4,5,4,6,6,5,7,5,0,0
259,Tuberculosis,3,5,4,3,4,7,4,4,5,4,6,6,5,7,5,0,0
260,CommonCold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
261,CommonCold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
262,CommonCold,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2,0
263,CommonCold,4,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2,0
264,CommonCold,4,3,4,7,3,6,6,5,4,5,4,5,5,7,3,2,0
265,CommonCold,4,3,4,7,3,6,6,5,4,5,4,5,5,7,3,2,0
266,CommonCold,4,3,4,4,3,6,6,5,4,5,4,5,5,7,3,2,0
267,CommonCold,4,3,4,4,7,6,6,5,4,5,4,5,5,7,3,2,0
268,CommonCold,4,3,4,4,7,3,6,5,4,5,4,5,5,7,3,2,0
269,CommonCold,4,3,4,4,7,3,6,5,4,5,4,5,5,7,3,2,0
270,Pneumonia,3,4,4,7,4,3,6,7,5,4,0,0,0,0,0,0,0
271,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
272,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
273,Pneumonia,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0,0
274,Pneumonia,3,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0,0
275,Pneumonia,3,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0,0
276,Pneumonia,3,4,4,4,3,6,5,7,5,4,0,0,0,0,0,0,0
277,Pneumonia,3,4,4,7,3,6,5,7,5,4,0,0,0,0,0,0,0
278,Pneumonia,3,4,4,7,4,6,5,7,5,4,0,0,0,0,0,0,0
279,Pneumonia,3,4,4,7,4,3,5,7,5,4,0,0,0,0,0,0,0
280,Dimorphichemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
281,Dimorphichemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
282,Dimorphichemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
283,Dimorphichemmorhoids(piles),5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Dimorphichemmorhoids(piles),4,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Dimorphichemmorhoids(piles),4,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Dimorphichemmorhoids(piles),4,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
287,Dimorphichemmorhoids(piles),4,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Dimorphichemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
289,Dimorphichemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
290,Heartattack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Heartattack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Heartattack,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Heartattack,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Heartattack,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Heartattack,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,Heartattack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
297,Heartattack,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,Heartattack,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,Heartattack,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Varicoseveins,4,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0
301,Varicoseveins,4,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0
302,Varicoseveins,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0,0
303,Varicoseveins,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0,0
304,Varicoseveins,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0,0
305,Varicoseveins,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0,0
306,Varicoseveins,4,4,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0
307,Varicoseveins,4,4,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0
308,Varicoseveins,4,4,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0
309,Varicoseveins,4,4,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0
310,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
311,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
312,Hypothyroidism,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0,0
313,Hypothyroidism,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0,0
